url,month,churn_sum,commit_count,dev_count,avg_interval_hours,churn_per_dev,eng_raw,engagement_score
https://github.com/Alfresco/rest-api-explorer,2022-09-01,103,7,4,6.324642857142857,25.75,-0.06526620236589396,0.8202666284208493
https://github.com/Alfresco/rest-api-explorer,2022-10-01,1290,13,6,151.71397435897435,215.0,0.12376653084172072,0.9419589806371371
https://github.com/Alfresco/rest-api-explorer,2022-11-01,610,6,2,432.8256481481482,305.0,-0.18122660928381612,0.7456155643307946
https://github.com/Alfresco/rest-api-explorer,2022-12-01,582,2,2,732.3725000000001,291.0,-0.2748291847143647,0.6853576535215827
https://github.com/Alfresco/rest-api-explorer,2023-01-01,60,8,2,567.7271180555556,30.0,-0.16107126780355543,0.7585908351891044
https://github.com/Alfresco/rest-api-explorer,2023-02-01,178,5,4,0.00011111111111111112,44.5,-0.10078959846507671,0.7973979666993231
https://github.com/Alfresco/rest-api-explorer,2023-03-01,31,5,3,436.71188888888884,10.333333333333334,-0.1695629988769931,0.7531241696482756
https://github.com/Alfresco/rest-api-explorer,2023-04-01,35,4,4,1695.1559722222223,8.75,-0.23226796475244246,0.7127570085564203
https://github.com/Alfresco/rest-api-explorer,2023-05-01,54,11,4,681.4129545454546,13.5,-0.03672811571854492,0.8386384036839932
https://github.com/Alfresco/rest-api-explorer,2023-07-01,14,1,1,5230.072222222222,14.0,-0.6355676691765774,0.45312742564390046
https://github.com/Alfresco/rest-api-explorer,2023-08-01,8,2,2,2855.1234722222225,4.0,-0.4225847745577613,0.5902380148429219
https://github.com/Alfresco/rest-api-explorer,2023-10-01,26,7,2,900.8764285714286,13.0,-0.20184765982912578,0.7323404870283171
https://github.com/Alfresco/rest-api-explorer,2024-01-01,11,2,1,3613.9069444444444,11.0,-0.5108905442660412,0.5333899936154666
https://github.com/Alfresco/rest-api-explorer,2024-02-01,85,11,8,1611.7284848484849,10.625,0.05616689030488504,0.8984408072165156
https://github.com/Alfresco/rest-api-explorer,2024-03-01,244,16,7,48.838315972222226,34.857142857142854,0.21392546300549178,1.0
https://github.com/Alfresco/rest-api-explorer,2024-06-01,272,2,1,1164.2755555555555,272.0,-0.3443159358701215,0.6406246273809477
https://github.com/Alfresco/rest-api-explorer,2024-08-01,12,3,2,5756.35462962963,6.0,-0.5950935890835448,0.4791831564516543
https://github.com/Alfresco/rest-api-explorer,2024-09-01,28,1,1,0.0,28.0,-0.2910733447922102,0.6749002580424631
https://github.com/Alfresco/rest-api-explorer,2024-11-01,155,7,4,738.6926984126984,38.75,-0.1129051901508458,0.7895983923837254
https://github.com/Alfresco/rest-api-explorer,2024-12-01,55,1,1,15937.890555555556,55.0,-1.339440297166852,0.0
https://github.com/Alfresco/rest-api-explorer,2025-01-01,108,9,5,211.8123148148148,21.6,-0.003576913236738382,0.8599799340123869
https://github.com/Alfresco/rest-api-explorer,2025-02-01,115,4,2,70.81965277777778,57.5,-0.20109260691157177,0.7328265624504187
https://github.com/Azure/amqpnetlite,2022-09-01,90,2,1,2.6045833333333333,90.0,-0.2715982987899777,0.5460466533675834
https://github.com/Azure/amqpnetlite,2022-10-01,374,6,2,138.5127314814815,187.0,-0.16516709935305374,0.840623784829564
https://github.com/Azure/amqpnetlite,2022-11-01,36,1,1,25.287777777777777,36.0,-0.2925734140912743,0.4879923485187305
https://github.com/Azure/amqpnetlite,2022-12-01,203,5,3,255.8328333333333,67.66666666666667,-0.15561892479363848,0.867050940468994
https://github.com/Azure/amqpnetlite,2023-01-01,181,4,2,401.5076388888889,90.5,-0.22193047899905774,0.6835157785619377
https://github.com/Azure/amqpnetlite,2023-04-01,84,2,2,3023.4725,42.0,-0.4325983661085476,0.10043542050726526
https://github.com/Azure/amqpnetlite,2023-05-01,944,2,1,1414.230138888889,944.0,-0.3469737132605455,0.33742480662557844
https://github.com/Azure/amqpnetlite,2023-09-01,156,1,1,2741.700277777778,156.0,-0.4688858478200046,0.0
https://github.com/Azure/amqpnetlite,2023-10-01,23,3,1,253.30416666666667,23.0,-0.2710988067351672,0.5474291327295805
https://github.com/Azure/amqpnetlite,2023-11-01,44,1,1,842.9194444444445,44.0,-0.3462200477423512,0.3395107797951569
https://github.com/Azure/amqpnetlite,2023-12-01,116,1,1,1060.3875,116.0,-0.35905451544441197,0.3039879190220324
https://github.com/Azure/amqpnetlite,2024-01-01,4,1,1,168.69694444444445,4.0,-0.30266839356566466,0.46005176237983364
https://github.com/Azure/amqpnetlite,2024-02-01,91,3,1,439.34120370370374,91.0,-0.2819468015719674,0.5174043729030897
https://github.com/Azure/amqpnetlite,2024-03-01,363,2,1,105.77236111111111,363.0,-0.2727848833591125,0.5427624596305775
https://github.com/Azure/amqpnetlite,2024-05-01,454,6,1,335.71819444444446,454.0,-0.2125548264122794,0.709465432979147
https://github.com/Azure/amqpnetlite,2024-06-01,355,3,3,3584.124074074074,118.33333333333333,-0.4096091087271543,0.1640644083386528
https://github.com/Azure/amqpnetlite,2024-07-01,240,1,1,481.62666666666667,240.0,-0.31841945871751604,0.4164564292965777
https://github.com/Azure/amqpnetlite,2024-08-01,103,1,1,1328.331111111111,103.0,-0.37695551959278983,0.2544420482602985
https://github.com/Azure/amqpnetlite,2024-09-01,364,7,2,385.94392857142856,182.0,-0.16321761955706338,0.8460194974512776
https://github.com/Azure/amqpnetlite,2024-10-01,17,1,1,1273.7086111111112,17.0,-0.37512575748077076,0.25950640981093415
https://github.com/Azure/amqpnetlite,2024-11-01,1663,4,1,197.73708333333332,1663.0,-0.21540757249895337,0.7015696865866633
